ball,score,commentary
15.6,4,"Wahab Riaz to Ingram, FOUR, backs away and slaps this short delivery to the wide long-off fence, but it doesn't matter.  Sammy roars, Zalmi fans roar.  Karachi had two shots at the final and they've failed in both.  PSL 2016 champs v PSL 2017 champs to contest the grand finale in 2018 "
15.5,1,"Wahab Riaz to Denly, 1 run, pulls this short ball on middle to deep square.  Game over.  Karachi's hopes extinguished."
15.4,4,"Wahab Riaz to Denly, FOUR, slapped over cover, good strike, clean strike. But this won't do."
15.3,0,"Wahab
 Riaz to Denly, no run, swing and a miss. Have they nipped this in the 
bud? Slower bouncer on middle, played too early in trying to pull"
15.2,2,"Wahab
 Riaz to Denly, 2 runs, he's sliced this over the infield, bounces away 
towards the point boundary. Deep cover comes around to cut that off. 
Wanted to hit over long-off but didn't get power on that slower onr"
15.1,1,"Wahab Riaz to Ingram, 1 run, drags this from outside off towards long-on, lovely slower delivery"
15.1,1nb,"Wahab Riaz to Ingram, 1(no ball) , high full toss that hits him on the stomach. Missed this swing.  No-ball, so a free-hit  Some drama. Can he cash in?"
14.6,4,"Hasan Ali to Denly, FOUR,
 helped to the fine leg fence. Slower and fuller down leg, looked to 
swing over square leg but this flew off a thick inside edge past short 
fine"
14.5,4,"Hasan Ali to Denly, FOUR, beats mid-off. Too full, he backed away and hammered it away off the middle of the bat."
14.4,6,"Hasan Ali to Denly, SIX,
 clean strike down the ground to beat long-on, who was running around 
the ropes to get there. This was slower and fuller, he backed away and 
belted this superbly."
14.3,W,"Hasan Ali to Babar Azam, OUT,
 hoicked straight to deep midwicket. Surely Karachi fans won't be 
disappointed with that? Hasan Ali will take that into his kitty. Looked 
to clear his front leg and swing over the ropes, no timing."
14.2,1,"Hasan Ali to Denly, 1 run, sits up nicely on middle, he pulls but can't get much power behind that. Down to deep midwicket"
14.1,1,"Hasan
 Ali to Babar Azam, 1 run, backs away to go over cover, but ends up 
getting a thick inside edge onto his pad off the knuckle ball"
13.6,1,"Jordan to Babar Azam, 1 run, no control of this big hit, sliced towards deep cover."
13.5,0,"Jordan to Babar Azam, no run, superb yorker, jams his bat down in time to keep that out."
13.4,4,"Jordan to Babar Azam, FOUR,
 hammered, deep cover wasn't more than 10 metres away but he couldn't 
get there. Jordan went for a yorker but missed his mark by very little. 
Is there life in the game yet?"
13.3,1,"Jordan to Denly, 1 run, goes over the infield, on the bounce to sweeper cover"
13.2,0,"Jordan to Denly, no run, full, straight and outside off. Denly is beaten as he looks to slap this over cover."
13.1,1,"Jordan to Babar Azam, 1 run, full toss outside off, carved away to deep point"
12.6,4,"Hasan Ali to Denly, FOUR, backs away and drills this full delivery to the extra cover fence. Went for the yorker, missed his length by an inch."
12.5,1,"Hasan Ali to Babar Azam, 1 run, no control over this attempted slap back past the bowler, Hasan Ali gets his finger tips as he puts his left hand out. Took pace off"
12.4,1,"Hasan Ali to Denly, 1 run, one-handed flat-batted pull towards deep midwicket."
12.3,1,"Hasan Ali to Babar Azam, 1 run, slower length ball on middle, dragged towards deep square"
12.2,4,"Hasan Ali to Babar Azam, FOUR, full toss again, this time he belts this to beat extra cover's dive. Class written all over that"
12.1,0,"Hasan Ali to Babar Azam, no run, backs away and mistimes this low full toss to extra cover"
11.6,6,"Umaid Asif to Denly, SIX,
 magnificent strike. Down the pitch, clean swing of the arms to send 
this length ball soaring towards the sightscreen. Denly's turn to raise 
the bat as he too brings up a half-century"
11.5,1,"Umaid
 Asif to Babar Azam, 1 run, drills this square drive to point and 
scampers a quick single to bring up his half-century. Applause from the 
dressing room but a sheepish acknowledgment from Babar. He knows there's
 a long, long way to go"
11.4,1,"Umaid Asif to Denly, 1 run, mistimes a pull towards deep midwicket, backed away and was cramped for room"
11.3,1,"Umaid Asif to Babar Azam, 1 run, steers this straight to point and scampers across for a quick single.  Run out chance missed at the bowler's end  not Zalmi won't mind."
11.2,1,"Umaid Asif to Denly, 1 run, full and straight on the stumps, squeezed to long-on"
11.1,1,"Umaid Asif to Babar Azam, 1 run, length on middle and leg, whipped to deep square"
10.6,1,"Wahab Riaz to Babar Azam, 1 run, makes room and glides this short of length delivery to third man"
10.5,1,"Wahab Riaz to Denly, 1 run, short ball outside off, worked across the line to deep square leg."
10.4,4,"Wahab Riaz to Denly, FOUR,
 belted down the ground, beats mid-off. Wahab goes full but misses the 
yorker. They're now getting a move-on but is it coming a little too 
late?"
10.3,4,"Wahab Riaz to Denly, FOUR, looks to swing this over long-on but gets a thick outside edge that bounces away past the diving third man fielder. Lucky runs"
10.2,1,"Wahab Riaz to Babar Azam, 1 run, length outside off, steers this to point, excellent stop"
10.1,6,"Wahab Riaz to Babar Azam, SIX,
 this is high, really really high but way over the sightscreen. Backed 
away, got underneath this full delivery and teed off in style."
9.6,1,"Umaid Asif to Babar Azam, 1 run, steered to deep point, used the pace nicely."
9.5,1,"Umaid Asif to Denly, 1 run, steps out and swings this length ball down to long-on, can't pick the gap again."
9.4,1,"Umaid Asif to Babar Azam, 1 run, pulled but not in control, on the bounce to deep midwicket"
9.3,1lb,"Umaid
 Asif to Denly, 1 leg bye, looking to hit this too hard, tries to whip 
this over midwicket but misses. Ball deflects off the pad to the off 
side as they take a leg bye"
9.3,1w,"Umaid Asif to Denly, 1 wide, looks to whip this fine but can't lay bat on this short ball angling in."
9.2,0,"Umaid
 Asif to Denly, no run, slower bouncer but well outside off, he takes a 
step out to swing but played too early again. On the bounce to the 
keeper"
9.1,0,"Umaid Asif to Denly, no run, steps out to pull but is beaten by a slower delivery"
8.6,2,"Jordan to Babar Azam, 2 runs, converts this yorker-length into a low full toss on the pads, worked to deep square leg"
8.5,2,"Jordan
 to Babar Azam, 2 runs, excellent yorker on the base of leg stump, 
squeezed towards the man coming in from deep midwicket. Superb running"
8.4,1,"Jordan to Denly, 1 run, backs away to carve this over point, gets a thick outside edge on the bounce to third man"
8.3,2,"Jordan to Denly, 2 runs, full toss outside off, he belts this into the gap at deep extra cover"
8.2,1,"Jordan to Babar Azam, 1 run, full and slanting into middle, drilled down to long-on"
8.1,0,"Jordan to Babar Azam, no run, drills this full delivery to the edge of the ring at cover"
7.6,1,"Umaid Asif to Babar Azam, 1 run, plays the short-arm jab towards deep square leg"
7.5,4,"Umaid Asif to Babar Azam, FOUR, thick outside edge that beats third man. Looked to slash this over point, genuine edge but he'll take the runs"
7.4,0,"Umaid Asif to Babar Azam, no run, back of length outside off, steered straight to point"
7.3,2,"Umaid Asif to Babar Azam, 2 runs, full and straight on off, belted over the bowler's head, long-on comes around to cut that off"
7.2,4,"Umaid Asif to Babar Azam, FOUR,
 backs away to leg stump and then angles his bat to nudge this wide of 
the keeper to the third man boundary. Kamran may have been influenced by
 Babar's shimmie towards leg."
7.1,1,"Umaid Asif to Denly, 1 run, steers this down to square third man for an easy single"
6.6,0,"Wahab Riaz to Babar Azam, no run, sways out of the way of this short ball outside off"
6.5,1,"Wahab Riaz to Denly, 1 run, off the thigh pad as it deflects to the off side, they scamper a leg bye"
6.4,0,"Wahab Riaz to Denly, no run, hustled for pace, threw him off balance as he tried to work this square on the leg side. Denly nearly slipped onto the stumps.  This hit him so close to the box. Ouch"
6.3,0,"Wahab Riaz to Denly, no run, play and a miss. Touch fuller and slanting away again, looked to steer this behind point"
6.2,1,"Wahab Riaz to Babar Azam, 1 run, chops this down to third man, did well to get on top of the bounce"
6.1,4,"Wahab Riaz to Babar Azam, FOUR, steered off the face of the bat, beats square third man. Used Wahab's pace to good effect. Nicely done"
